fireID,orig,start_edit,end_edit,modis,fih_fire_t,date_adj
0156_f,2014-01-12,2014-01-12,2014-01-12,train_test,WF,modis_1k
0177_f,2014-03-12,2014-03-11,2014-03-12,train_test,WF,modis_1k
0323_f,2014-10-13,2014-10-10,2014-10-13,train_test,PB,modis_1k
0335_f,2014-10-24,2014-10-24,2014-10-27,train_test,PB,modis_1k
0368_f,2014-10-14,2014-10-10,2014-10-14,train_test,PB,modis_1k
0956_f,2016-04-16,2016-04-23,2016-04-23,train_test,PB,modis_1k
2154_f,2016-10-25,2016-10-25,2016-11-01,train_test,PB,modis_1k
2162_f,2016-11-07,2016-11-07,2016-11-07,train_test,PB,modis_1k
2367_f,2017-02-08,2017-02-08,2017-02-08,train_test,WF,modis_1k
2429_f,2017-04-06,2017-04-06,2017-04-09,train_test,PB,modis_1k
2573_f,2017-10-30,2017-10-30,2017-11-04,train_test,PB,modis_1k
3032_f,2020-09-16,2020-09-14,2020-09-16,train_test,PB,modis_1k
3767_f,2020-05-15,2020-05-14,2020-05-15,train_test,PB,modis_1k
3988_f,2018-10-09,2018-10-08,2018-10-09,train_test,PB,modis_1k
4747_f,2019-08-28,2019-08-28,2019-08-28,train_test,PB,modis_1k
4768_f,2019-09-29,2019-09-27,2019-10-02,train_test,PB,modis_1k
4777_f,2019-09-30,2019-09-28,2019-09-30,train_test,PB,modis_1k
5023_f,2010-04-23,2010-04-21,2010-04-29,train_test,PB,modis_1k
5464_f,2010-01-03,2010-01-03,2010-01-03,train_test,WF,modis_1k
5641_f,2011-06-09,2011-05-09,2011-06-09,train_test,PB,modis_1k
5786_f,2010-11-03,2010-11-03,2010-11-03,train_test,WF,modis_1k
5805_f,2011-02-06,2011-02-06,2011-02-06,train_test,WF,modis_1k
6150_f,2020-04-08,2020-04-08,2020-04-08,train_test,WF,modis_1k
6156_f,2020-09-15,2020-09-15,2020-09-18,train_test,PB,modis_1k
6159_f,2020-10-06,2020-10-06,2020-10-11,train_test,PB,modis_1k
4150_f,2005-03-02,2005-03-02,2005-03-03,1k,WF,modis_1k
4192_f,2005-01-15,2005-01-15,2005-01-19,1k,WF,modis_1k
4202_f,2005-02-15,2005-02-15,2005-02-16,1k,WF,modis_1k
4122_f,2005-04-20,2005-04-19,2005-04-20,1k,PB,modis_1k
4123_f,2005-04-27,2005-04-26,2005-04-28,1k,PB,modis_1k
4132_f,2005-04-06,2005-04-05,2005-04-06,1k,PB,modis_1k
4377_f,2005-10-20,2005-10-15,2005-10-20,1k,PB,modis_1k
4385_f,2005-10-19,2005-10-19,2005-10-19,1k,PB,modis_1k
4387_f,2005-11-29,2005-11-29,2005-11-29,1k,PB,modis_1k
4388_f,2005-10-19,2005-10-19,2005-10-19,1k,PB,modis_1k
4389_f,2005-10-20,2005-10-15,2005-10-20,1k,PB,modis_1k
4394_f,2005-10-29,2005-10-29,2005-10-29,1k,PB,modis_1k
4397_f,2005-11-11,2005-11-11,2005-11-11,1k,PB,modis_1k
4398_f,2005-10-16,2005-10-12,2005-10-16,1k,PB,modis_1k
4404_f,2005-12-02,2005-12-02,2005-12-02,1k,PB,modis_1k
4405_f,2005-11-24,2005-11-16,2005-11-24,1k,PB,modis_1k
4407_f,2005-10-20,2005-10-19,2005-10-20,1k,PB,modis_1k
4408_f,2005-11-12,2005-11-10,2005-11-18,1k,PB,modis_1k
4544_f,2006-10-28,2006-10-28,2006-10-29,1k,WF,modis_1k
4260_f,2006-05-09,2006-05-09,2006-05-12,1k,PB,modis_1k
4262_f,2006-05-11,2006-05-10,2006-05-12,1k,PB,modis_1k
4263_f,2006-06-09,2006-06-09,2006-06-09,1k,PB,modis_1k
4267_f,2006-05-12,2006-05-11,2006-05-12,1k,PB,modis_1k
4269_f,2006-05-19,2006-05-19,2006-05-21,1k,PB,modis_1k
4271_f,2006-06-25,2006-06-24,2006-06-25,1k,PB,modis_1k
4272_f,2006-05-02,2006-05-01,2006-05-02,1k,PB,modis_1k
4374_f,2006-05-19,2006-05-19,2006-05-20,1k,PB,modis_1k
4375_f,2006-05-08,2006-05-03,2006-05-11,1k,PB,modis_1k
4522_f,2006-10-19,2006-10-19,2006-10-19,1k,PB,modis_1k
4510_f,2006-10-06,2006-10-05,2006-10-07,1k,PB,modis_1k
4511_f,2006-10-17,2006-10-17,2006-10-17,1k,PB,modis_1k
4514_f,2006-11-01,2006-11-01,2006-11-01,1k,PB,modis_1k
4476_f,2007-01-29,2007-01-29,2007-01-29,1k,WF,modis_1k
4488_f,2007-01-28,2007-01-28,2007-01-30,1k,WF,modis_1k
4491_f,2007-03-08,2007-03-08,2007-03-09,1k,WF,modis_1k
4494_f,2007-01-29,2007-01-29,2007-01-29,1k,WF,modis_1k
4500_f,2007-01-09,2007-01-09,2007-01-09,1k,WF,modis_1k
4501_f,2007-02-03,2007-01-27,2007-02-06,1k,WF,modis_1k
4504_f,2007-01-29,2007-01-29,2007-01-29,1k,WF,modis_1k
4966_f,2007-10-14,2007-10-14,2007-10-14,1k,PB,modis_1k
4970_f,2007-10-05,2007-10-04,2007-10-05,1k,PB,modis_1k
4977_f,2007-11-07,2007-11-06,2007-11-12,1k,PB,modis_1k
4982_f,2007-09-23,2007-09-23,2007-09-23,1k,PB,modis_1k
4985_f,2007-10-03,2007-10-03,2007-10-04,1k,PB,modis_1k
4986_f,2007-10-03,2007-10-02,2007-10-03,1k,PB,modis_1k
4993_f,2007-10-24,2007-10-23,2007-10-24,1k,PB,modis_1k
4994_f,2007-10-24,2007-10-23,2007-10-24,1k,PB,modis_1k
4995_f,2007-10-23,2007-10-23,2007-10-23,1k,PB,modis_1k
4998_f,2007-10-06,2007-10-06,2007-10-07,1k,PB,modis_1k
4465_f,2007-04-22,2007-04-21,2007-04-22,1k,PB,modis_1k
4462_f,2007-05-03,2007-05-03,2007-05-07,1k,PB,modis_1k
4468_f,2007-04-20,2007-04-20,2007-04-20,1k,PB,modis_1k
4453_f,2007-04-20,2007-04-20,2007-04-21,1k,PB,modis_1k
4459_f,2007-05-10,2007-05-10,2007-05-10,1k,PB,modis_1k
4555_f,2008-01-08,2008-01-08,2008-01-09,1k,WF,modis_1k
5322_f,2008-10-15,2008-10-15,2008-10-17,1k,WF,modis_1k
5325_f,2008-10-20,2008-10-15,2008-10-20,1k,WF,modis_1k
4551_f,2008-04-16,2008-04-14,2008-04-16,1k,PB,modis_1k
4560_f,2008-04-14,2008-04-14,2008-04-14,1k,PB,modis_1k
4562_f,2008-04-12,2008-04-12,2008-04-12,1k,PB,modis_1k
4564_f,2008-05-18,2008-05-18,2008-05-19,1k,PB,modis_1k
5233_f,2008-10-14,2008-10-10,2008-10-15,1k,PB,modis_1k
5235_f,2008-10-10,2008-10-10,2008-10-15,1k,PB,modis_1k
5237_f,2008-11-15,2008-11-14,2008-11-15,1k,PB,modis_1k
5241_f,2008-11-14,2008-11-13,2008-11-14,1k,PB,modis_1k
5242_f,2008-11-14,2008-11-14,2008-11-14,1k,PB,modis_1k
5248_f,2008-11-02,2008-11-02,2008-11-02,1k,PB,modis_1k
5254_f,2008-10-10,2008-10-10,2008-10-14,1k,PB,modis_1k
5255_f,2008-10-11,2008-10-08,2008-10-17,1k,PB,modis_1k
5256_f,2008-08-15,2008-08-15,2008-08-15,1k,PB,modis_1k
5198_f,2009-01-06,2009-01-06,2009-01-06,1k,WF,modis_1k
5199_f,2009-04-12,2009-04-12,2009-04-12,1k,WF,modis_1k
5071_f,2009-06-02,2009-05-29,2009-06-02,1k,PB,modis_1k
5077_f,2009-05-18,2009-05-18,2009-05-19,1k,PB,modis_1k
5107_f,2009-10-16,2009-10-16,2009-10-16,1k,WF,modis_1k
5555_f,2009-12-20,2009-12-20,2009-12-20,1k,WF,modis_1k
5558_f,2009-12-29,2009-12-29,2009-12-30,1k,WF,modis_1k
5566_f,2009-10-07,2009-10-05,2009-10-07,1k,PB,modis_1k
5567_f,2009-10-09,2009-10-05,2009-10-09,1k,PB,modis_1k
5568_f,2009-09-27,2009-09-25,2009-09-27,1k,PB,modis_1k
5583_f,2009-10-16,2009-10-15,2009-10-17,1k,PB,modis_1k
5585_f,2009-10-15,2009-10-13,2009-10-15,1k,PB,modis_1k
